Language	Language(local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Lezgian	лезги	lez	3,937	9,309	69,513	4	6,070	20	10	13.9
Interlingue	Interlingue	ie	3,875	7,075	128,105	0	10,819	19	0	12.35
Saterland Frisian	Seeltersk	stq	3,869	9,519	122,504	3	8,939	18	442	27.44
Cornish	kernowek	kw	3,799	8,345	178,424	0	9,174	13	0	30.62
Norman	Nouormand	nrm	3,673	8,140	206,595	0	8,780	8	0	37.54
Picard	Picard	pcd	3,601	7,948	57,632	1	8,148	15	51	10.57
Mirandese	Mirandés	mwl	3,491	8,734	94,148	2	8,457	11	0	24.31
Romansh	rumantsch	rm	3,477	8,759	157,496	3	11,532	17	51	41.5
Komi-Permyak	Перем Коми	koi	3,452	7,341	56,516	0	5,473	5	0	9.77
Uyghur	ئۇيغۇرچە / Uyghurche	ug	3,419	12,050	151,364	1	13,281	11	295	80.05
Abkhazian	Аҧсшәа	ab	3,398	8,086	55,042	1	11,746	9	0	12.96
Konkani	गोंयची कोंकणी / Gõychi Konknni	gom	3,383	7,242	154,891	2	3,556	7	0	27.83
Ligurian	Ligure	lij	3,341	14,427	171,023	3	8,638	22	0	130.52
Guarani	Avañe'ẽ	gn	3,333	8,851	103,083	1	10,698	20	0	31.92
Maltese	Malti	mt	3,262	15,063	263,257	3	13,861	30	1,185	228.74
Friulian	furlan	fur	3,203	7,096	168,459	1	9,308	12	319	35.07
Lower Sorbian	dolnoserbski	dsb	3,110	10,245	140,243	2	12,564	21	0	72.05
Shona	chiShona	sn	3,053	9,155	57,963	0	7,841	15	0	25.29
Divehi	ދިވެހިބަސް	dv	3,015	11,061	126,988	1	17,669	9	934	81.76
Anglo-Saxon	Ænglisc	ang	2,979	14,677	194,279	1	89,979	41	300	204.11
Lingala	lingála	ln	2,932	8,632	118,471	2	7,798	11	28	51.87
Chavacano	Chavacano de Zamboanga	cbk-zam	2,924	5,176	111,735	1	10,077	10	0	12.8
Extremaduran	estremeñu	ext	2,922	6,298	114,678	0	11,341	16	0	24.31
Kabyle	Taqbaylit	kab	2,891	10,887	76,364	1	7,476	26	0	53.66
Franco-Provençal	arpetan	frp	2,841	7,265	198,772	2	9,820	19	0	66.34
Ripuarian	Ripoarisch	ksh	2,838	10,287	1,599,806	2	15,877	9	0	1071.4
Lao	ລາວ	lo	2,810	9,288	63,220	0	9,586	40	0	36.17
Gagauz	Gagauz	gag	2,757	6,226	67,122	0	7,807	9	0	17.07
Doteli	डोटेली	dty	2,702	7,419	50,128	2	1,208	17	0	——
Pangasinan	Pangasinan	pag	2,548	7,330	62,387	0	5,101	5	0	29.98
Pali	पालि	pi	2,528	4,419	102,105	0	4,416	3	0	12.93
Livvi-Karelian	Livvinkarjala	olo	2,487	3,971	17,132	3	2,293	19	0	——
Avar	авар	av	2,310	9,723	65,640	0	8,885	14	0	69.52
Kalmyk	хальмг	xal	2,076	10,172	84,480	2	6,717	10	0	126.31
Palatinate German	Pälzisch	pfl	2,072	4,841	59,279	5	6,630	6	0	21.87
Buryat	буряад	bxr	2,071	7,599	53,646	1	9,068	14	0	50.3
Hawaiian	Hawaiʻi	haw	2,047	4,846	73,404	0	9,344	14	0	28.32
Karachay-Balkar	къарачай-малкъар	krc	2,019	13,468	109,709	1	6,642	17	0	261.94
Papiamentu	Papiamentu	pap	1,914	4,602	81,026	1	7,798	13	0	34.73
Karakalpak	Qaraqalpaqsha	kaa	1,905	4,736	45,063	1	7,100	17	0	21.01
Kinyarwanda	Kinyarwanda	rw	1,818	5,086	78,596	0	6,974	8	0	49.93
Pennsylvania German	Deitsch	pdc	1,812	5,506	108,779	0	21,825	20	0	82.11
